"Date de début";"Date de fin";"Organisme";"code zas";"Zas";"code site";"nom site";"type d'implantation";"Polluant";"type d'influence";"Réglementaire";"type d'évaluation";"type de valeur";"valeur";"valeur brute";"unité de mesure";"taux de saisie";"couverture temporelle";"couverture de données";"code qualité";"validité";"Latitude";"Longitude"
"2026/02/19 00:00:00";"2026/02/19 23:59:59";"ATMO NOUVELLE-AQUITAINE";"FR75ZRE02";"ZR NOUVELLE-AQUITAINE";"FR09008";"Aytré";"Périurbaine";"O3";"Fond";"Oui";"mesures fixes";"Moy. journalière";"87.0";"86.9125";"µg-m3";"100.0";"100";"100.0";"A";"1";"46.135134";"-1.117086"
"2026/02/19 00:00:00";"2026/02/19 23:59:59";"ATMO NOUVELLE-AQUITAINE";"FR75ZRE02";"ZR NOUVELLE-AQUITAINE";"FR09015";"Les Couronneries";"Urbaine";"O3";"Fond";"Oui";"mesures fixes";"Moy. journalière";"76.0";"76.4826086957";"µg-m3";"96.0";"100";"96.0";"R";"1";"46.586958";"0.358458"
"2026/02/19 00:00:00";"2026/02/19 23:59:59";"ATMO NOUVELLE-AQUITAINE";"FR75ZRE02";"ZR NOUVELLE-AQUITAINE";"FR09103";"Square Pablo Casals";"Urbaine";"O3";"Fond";"Oui";"mesures fixes";"Moy. journalière";"74.0";"74.2181818182";"µg-m3";"92.0";"100";"92.0";"R";"1";"45.647428";"0.167162"
"2026/02/19 00:00:00";"2026/02/19 23:59:59";"ATMO NOUVELLE-AQUITAINE";"FR75ZRE02";"ZR NOUVELLE-AQUITAINE";"FR09302";"Zoodyssée Chizé";"Rurale régionale";"O3";"Fond";"Oui";"mesures fixes";"Moy. journalière";"80.0";"80.0695652174";"µg-m3";"96.0";"100";"96.0";"R";"1";"46.143234";"-0.395913"
"2026/02/19 00:00:00";"2026/02/19 23:59:59";"ATMO NOUVELLE-AQUITAINE";"FR75ZRE02";"ZR NOUVELLE-AQUITAINE";"FR09303";"Niort Venise";"Urbaine";"O3";"Fond";"Oui";"mesures fixes";"Moy. journalière";"81.0";"81.3666666667";"µg-m3";"100.0";"100";"100.0";"A";"1";"46.320028";"-0.482861"
"2026/02/19 00:00:00";"2026/02/19 23:59:59";"ATMO NOUVELLE-AQUITAINE";"FR75ZRE02";"ZR NOUVELLE-AQUITAINE";"FR09304";"AIRVAULT - Stade Laillé";"Périurbaine";"O3";"Fond";"Oui";"mesures fixes";"Moy. journalière";"79.0";"79.4458333333";"µg-m3";"100.0";"100";"100.0";"A";"1";"46.823796";"-0.135634"
"2026/02/19 00:00:00";"2026/02/19 23:59:59";"ATMO NOUVELLE-AQUITAINE";"FR75ZRE02";"ZR NOUVELLE-AQUITAINE";"FR09404";"Poitiers Centre  Augouard";"Urbaine";"O3";"Fond";"Oui";"mesures fixes";"Moy. journalière";"73.0";"73.0375";"µg-m3";"100.0";"100";"100.0";"R";"1";"46.583998";"0.345582"
"2026/02/19 00:00:00";"2026/02/19 23:59:59";"ATMO HAUTS DE FRANCE";"FR32ZAR01";"ZAR COTE-D-OPALE";"FR10017";"St Pol mer - cheminots";"Urbaine";"O3";"Fond";"Oui";"mesures fixes";"Moy. journalière";"40.0";"40.4625";"µg-m3";"100.0";"100";"100.0";"A";"1";"51.032761";"2.332358"
"2026/02/19 00:00:00";"2026/02/19 23:59:59";"ATMO HAUTS DE FRANCE";"FR32ZAR01";"ZAR COTE-D-OPALE";"FR10025";"Sangatte";"Périurbaine";"O3";"Fond";"Oui";"mesures fixes";"Moy. journalière";"42.0";"41.6208333333";"µg-m3";"100.0";"100";"100.0";"A";"1";"50.94989";"1.76917"
"2026/02/19 00:00:00";"2026/02/19 23:59:59";"ATMO HAUTS DE FRANCE";"FR32ZAR01";"ZAR COTE-D-OPALE";"FR10032";"Outreau";"Périurbaine";"O3";"Fond";"Oui";"mesures fixes";"Moy. journalière";"43.0";"42.9791666667";"µg-m3";"100.0";"100";"100.0";"A";"1";"50.69435";"1.57657"
"2026/02/19 00:00:00";"2026/02/19 23:59:59";"ATMO HAUTS DE FRANCE";"FR32ZRE01";"ZR HAUTS-DE-FRANCE";"FR10132";"Campagne les B.";"Rurale régionale";"O3";"Fond";"Oui";"mesures fixes";"Moy. journalière";"42.0";"41.6666666667";"µg-m3";"100.0";"100";"100.0";"A";"1";"50.61048";"1.99145"
